,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
32,32,Indonesia,"25,773",+557,"1,573",+53,"7,015","17,185",,94,6,"311,906","1,141","273,263,419"
33,33,Ireland,"24,929",+53,"1,651",+6,"22,089","1,189",42,"5,054",335,"325,795","66,047","4,932,806"
34,34,Poland,"23,571",+416,"1,061",+10,"11,016","11,494",160,623,28,"899,069","23,753","37,850,086"
35,35,Ukraine,"23,204",+393,696,+17,"9,311","13,197",273,530,16,"348,279","7,960","43,755,130"
36,36,Egypt,"22,082",,879,,"5,511","15,692",41,216,9,"135,000","1,322","102,152,100"
37,37,Romania,"19,133",+151,"1,259",+11,"13,046","4,828",160,994,65,"425,819","22,123","19,248,085"
38,38,Philippines,"17,224",+590,950,+8,"3,808","12,466",56,157,9,"340,954","3,115","109,447,729"
39,39,Israel,"17,008",+21,284,,"14,776","1,948",39,"1,849",31,"567,429","61,693","9,197,590"
40,40,Japan,"16,719",,874,,"14,254","1,591",131,132,7,"284,763","2,251","126,508,530"
41,41,Austria,"16,685",+30,668,,"15,520",497,23,"1,853",74,"442,143","49,117","9,001,908"
42,42,Dominican Republic,"16,531",,488,,"9,266","6,777",106,"1,525",45,"76,930","7,098","10,838,156"
43,43,Argentina,"15,419",,524,+4,"4,788","10,107",259,341,12,"150,486","3,332","45,158,774"
44,44,Afghanistan,"14,525",+866,249,+3,"1,303","12,973",19,374,6,"37,348",961,"38,843,762"
45,45,Panama,"12,531",,326,,"7,540","4,665",79,"2,908",76,"63,202","14,669","4,308,467"
46,46,Denmark,"11,633",+40,571,+3,"10,327",735,20,"2,009",99,"618,860","106,876","5,790,443"
47,47,S. Korea,"11,441",+39,269,,"10,398",774,15,223,5,"902,901","17,612","51,265,441"
48,48,Serbia,"11,381",+27,242,,"6,606","4,533",10,"1,302",28,"242,782","27,777","8,740,269"
49,49,Bahrain,"10,793",+344,15,,"5,826","4,952",10,"6,366",9,"309,573","182,590","1,695,455"
50,50,Oman,"10,423",+603,42,+1,"2,396","7,985",31,"2,046",8,"72,000","14,135","5,093,884"
51,51,Kazakhstan,"10,382",+450,38,+1,"5,220","5,124",62,554,2,"788,289","42,028","18,756,335"
52,52,Nigeria,"9,302",,261,,"2,697","6,344",7,45,1,"60,825",296,"205,640,180"
53,53,Algeria,"9,267",+133,646,+8,"5,549","3,072",34,212,15,,,"43,776,603"
54,54,Czechia,"9,226",+30,319,,"6,532","2,375",19,862,30,"436,372","40,755","10,707,285"
55,55,Armenia,"8,927",+251,127,+7,"3,317","5,483",10,"3,013",43,"57,081","19,266","2,962,770"
56,56,Bolivia,"8,731",+344,300,+7,749,"7,682",3,749,26,"22,294","1,912","11,658,434"
57,57,Norway,"8,435",+13,236,,"7,727",472,8,"1,557",44,"245,352","45,289","5,417,490"
58,58,Moldova,"8,098",+202,291,+3,"4,455","3,352",256,"2,007",72,"40,565","10,054","4,034,743"
59,59,Ghana,"7,768",+152,35,+1,"2,540","5,193",17,250,1,"211,622","6,824","31,010,956"
60,60,Malaysia,"7,762",+30,115,,"6,330","1,317",9,240,4,"546,368","16,901","32,328,196"
61,61,Morocco,"7,740",+26,203,+1,"5,377","2,160",1,210,6,"196,469","5,329","36,870,903"
62,62,Australia,"7,185",+12,103,,"6,606",476,4,282,4,"1,428,538","56,080","25,473,105"
63,63,Finland,"6,826",+50,316,+2,"5,500","1,010",11,"1,232",57,"182,700","32,978","5,539,987"
64,64,Iraq,"6,179",+306,195,+10,"3,110","2,874",36,154,5,"211,485","5,269","40,135,453"
65,65,Cameroon,"5,659",+223,185,+8,"3,441","2,033",28,214,7,,,"26,481,233"
66,66,Azerbaijan,"5,246",+257,61,+3,"3,327","1,858",42,518,6,"294,264","29,046","10,131,032"
67,67,Honduras,"4,886",+134,199,+3,528,"4,159",13,494,20,"14,790","1,495","9,889,983"
68,68,Guatemala,"4,607",+259,90,+10,648,"3,869",5,258,5,"31,427","1,757","17,884,332"
69,69,Sudan,"4,521",,233,,816,"3,472",,103,5,401,9,"43,750,011"
70,70,Luxembourg,"4,016",+4,110,,"3,815",91,4,"6,425",176,"74,366","118,980","625,031"
71,71,Hungary,"3,867",+26,524,+7,"2,142","1,201",22,400,54,"183,562","18,998","9,662,389"
72,72,Tajikistan,"3,807",+121,47,,"1,865","1,895",,400,5,,,"9,516,984"
73,73,Guinea,"3,656",,22,,"2,000","1,634",24,279,2,"14,407","1,100","13,097,504"
74,74,Senegal,"3,535",+106,42,+1,"1,761","1,732",14,212,3,"40,735","2,439","16,700,407"
75,75,Uzbekistan,"3,523",+55,14,,"2,783",726,7,105,0.4,"460,000","13,762","33,424,544"
76,76,Djibouti,"3,194",+280,22,+2,"1,286","1,886",,"3,237",22,"26,366","26,722","986,677"
77,77,Thailand,"3,077",+1,57,,"2,961",59,59,44,0.8,"375,453","5,380","69,784,967"
78,78,DRC,"2,966",+133,69,,428,"2,469",,33,0.8,,,"89,286,547"
79,79,Greece,"2,915",+6,175,,"1,374","1,366",14,280,17,"178,316","17,101","10,427,224"
80,80,Ivory Coast,"2,750",,32,,"1,370","1,348",,105,1,"26,548","1,009","26,314,434"
81,81,Gabon,"2,613",,15,,709,"1,889",15,"1,177",7,"13,833","6,229","2,220,636"
82,82,Bulgaria,"2,499",+14,139,+3,"1,064","1,296",22,359,20,"80,742","11,613","6,952,659"
83,83,Bosnia and Herzegovina,"2,494",+9,153,,"1,831",510,4,760,47,"64,623","19,687","3,282,476"
84,84,El Salvador,"2,395",+117,44,+2,"1,026","1,325",45,369,7,"86,972","13,415","6,483,357"
85,85,Croatia,"2,246",+1,103,,"2,063",80,4,547,25,"66,144","16,104","4,107,324"
86,86,North Macedonia,"2,164",+35,131,+5,"1,535",498,21,"1,039",63,"28,804","13,826","2,083,381"
87,87,Cuba,"2,025",+20,83,+1,"1,795",147,3,179,7,"103,123","9,104","11,327,197"
88,88,Somalia,"1,916",+88,73,+1,327,"1,516",2,121,5,,,"15,849,098"
89,89,Kenya,"1,888",+143,63,+1,464,"1,361",7,35,1,"76,962","1,434","53,657,349"
90,90,Estonia,"1,865",+6,67,,"1,622",176,,"1,406",51,"82,747","62,382","1,326,459"
91,91,Iceland,"1,806",+1,10,,"1,794",2,,"5,295",29,"61,025","178,933","341,049"
92,92,Kyrgyzstan,"1,722",+60,16,,"1,113",593,4,264,2,"109,521","16,813","6,514,168"
93,93,Mayotte,"1,699",,21,,"1,385",293,9,"6,242",77,"5,200","19,105","272,174"
94,94,Lithuania,"1,670",+8,70,+2,"1,229",371,17,613,26,"299,428","109,873","2,725,228"
95,95,Maldives,"1,633",+42,5,,230,"1,398",9,"3,026",9,"11,775","21,820","539,651"
96,96,Sri Lanka,"1,613",+55,10,,781,822,1,75,0.5,"62,208","2,906","21,405,475"
97,97,Haiti,"1,584",+141,35,,22,"1,527",,139,3,"4,106",360,"11,389,903"
98,98,Slovakia,"1,521",+1,28,,"1,356",137,,279,5,"170,995","31,321","5,459,418"
99,99,New Zealand,"1,504",,22,,"1,481",1,,301,4,"278,872","55,751","5,002,100"
100,100,Slovenia,"1,473",,108,,"1,357",8,2,709,52,"79,897","38,432","2,078,914"
101,101,Nepal,"1,401",+189,6,,219,"1,176",,48,0.2,"173,784","5,975","29,087,562"
102,102,Venezuela,"1,370",,14,,302,"1,054",3,48,0.5,"961,899","33,819","28,442,623"
103,103,Equatorial Guinea,"1,306",,12,,200,"1,094",,934,9,854,611,"1,398,267"
104,104,Guinea-Bissau,"1,256",,8,,42,"1,206",,640,4,"1,500",764,"1,963,484"
105,105,Mali,"1,250",+24,76,+3,696,478,,62,4,"3,483",172,"20,192,489"
106,106,Lebanon,"1,191",+19,26,,708,457,6,174,4,"82,076","12,021","6,827,955"
107,107,Albania,"1,122",+23,33,,857,232,5,390,11,"14,498","5,037","2,878,060"
108,108,Hong Kong,"1,083",+3,4,,"1,036",43,1,145,0.5,"202,930","27,088","7,491,589"
109,109,Tunisia,"1,076",+5,48,,950,78,2,91,4,"51,171","4,334","11,807,501"
110,110,Latvia,"1,065",+1,24,,745,296,3,564,13,"108,174","57,300","1,887,841"
111,111,Ethiopia,"1,063",+95,8,,208,847,5,9,0.07,"106,615",930,"114,685,261"
112,112,Zambia,"1,057",,7,,779,271,1,58,0.4,"24,275","1,324","18,332,690"
113,113,Costa Rica,"1,022",,10,,653,359,2,201,2,"25,503","5,010","5,089,969"
114,114,South Sudan,994,,10,,6,978,,89,0.9,"3,356",300,"11,181,838"
115,115,Paraguay,964,+47,11,,466,487,2,135,2,"29,153","4,092","7,124,576"
116,116,Niger,955,,64,,813,78,,40,3,"6,020",250,"24,115,230"
117,117,Cyprus,944,+2,17,,784,143,4,782,14,"111,270","92,219","1,206,584"
118,118,CAR,874,,1,,23,850,,181,0.2,"14,557","3,019","4,821,903"
119,119,Sierra Leone,852,+23,46,+1,415,391,,107,6,,,"7,961,529"
120,120,Burkina Faso,847,,53,,720,74,,41,3,,,"20,846,391"
121,121,Uruguay,816,,22,,680,114,6,235,6,"42,624","12,274","3,472,692"
122,122,Andorra,764,,51,,692,21,4,"9,889",660,"3,750","48,541","77,254"
123,123,Chad,759,,65,,470,224,,46,4,,,"16,378,747"
124,124,Nicaragua,759,,35,,370,354,,115,5,,,"6,617,408"
125,125,Madagascar,758,+60,6,+1,165,587,8,27,0.2,"10,249",371,"27,621,064"
126,126,Georgia,757,+11,12,,600,145,6,190,3,"53,618","13,439","3,989,806"
127,127,Jordan,734,+4,9,,507,218,5,72,0.9,"183,641","18,015","10,194,057"
128,128,Diamond Princess,712,,13,,651,48,4,,,,,0
129,129,San Marino,671,,42,,357,272,1,"19,779","1,238","4,466","131,643","33,925"
130,130,Malta,618,+2,9,,525,84,1,"1,400",20,"68,038","154,127","441,442"
131,131,Jamaica,575,+6,9,,289,277,2,194,3,"12,078","4,080","2,960,047"
132,132,Congo,571,,19,,161,391,,104,3,,,"5,504,824"
133,133,Channel Islands,560,,45,,512,3,,"3,224",259,"10,255","59,032","173,720"
134,134,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,564,340"
135,135,Réunion,471,+1,1,,411,59,1,526,1,"17,200","19,223","894,749"
136,136,Sao Tome and Principe,463,,12,,68,383,,"2,116",55,175,800,"218,775"
137,137,French Guiana,450,,1,,172,277,2,"1,510",3,,,"297,920"
138,138,Palestine,447,+1,3,,368,76,,88,0.6,"44,876","8,817","5,089,925"
139,139,Taiwan,442,,7,,421,14,,19,0.3,"71,909","3,020","23,813,096"
140,140,Togo,428,,13,,202,213,,52,2,"19,162","2,320","8,259,905"
141,141,Mauritania,423,,20,,21,382,,91,4,"2,583",557,"4,637,608"
142,142,Cabo Verde,421,+16,4,,167,250,,758,7,"1,307","2,353","555,443"
143,143,Rwanda,355,,,,247,108,,27,,"65,608","5,078","12,920,834"
144,144,Isle of Man,336,,24,,309,3,,"3,953",282,"4,756","55,957","84,994"
145,145,Mauritius,335,,10,,322,3,,263,8,"116,937","91,961","1,271,588"
146,146,Uganda,329,,,,72,257,,7,,"94,990","2,083","45,594,205"
147,147,Vietnam,328,+1,,,279,49,1,3,,"275,000","2,827","97,260,527"
148,148,Montenegro,324,,9,,315,0,,516,14,"10,167","16,188","628,059"
149,149,Yemen,283,,65,,11,207,,10,2,120,4,"29,762,769"
150,150,Eswatini,283,+4,2,,168,113,,244,2,"4,994","4,309","1,159,085"
151,151,Liberia,280,+7,27,,148,105,,55,5,,,"5,046,147"
152,152,Malawi,273,,4,,42,227,1,14,0.2,"3,372",177,"19,081,339"
153,153,Mozambique,244,+10,2,,90,152,,8,0.06,"10,261",329,"31,168,238"
154,154,Myanmar,224,+17,6,,130,88,,4,0.1,"24,710",454,"54,377,737"
155,155,Benin,224,,3,,136,85,,19,0.2,"30,817","2,549","12,091,909"
156,156,Martinique,200,,14,,98,88,,533,37,,,"375,289"
157,157,Faeroe Islands,187,,,,187,0,,"3,828",,"9,568","195,877","48,847"
158,158,Mongolia,179,,,,44,135,10,55,,"13,641","4,167","3,273,383"
159,159,Gibraltar,169,+8,,,149,20,,"5,016",,"7,553","224,178","33,692"
160,160,Guadeloupe,162,,14,,138,10,1,405,35,"4,137","10,339","400,118"
161,161,Zimbabwe,160,+11,4,,29,127,,11,0.3,"46,613","3,140","14,842,996"
162,162,Guyana,150,,11,,67,72,2,191,14,"1,586","2,017","786,222"
163,163,Brunei,141,,2,,138,1,1,323,5,"19,130","43,765","437,104"
164,164,Cayman Islands,141,,1,,68,72,,"2,148",15,"11,139","169,667","65,652"
165,165,Bermuda,140,,9,,92,39,2,"2,247",144,"6,941","111,418","62,297"
166,166,Cambodia,125,+1,,,123,2,1,7,,"19,842","1,188","16,697,744"
167,167,Syria,122,,4,,43,75,,7,0.2,,,"17,459,220"
168,168,Libya,118,,5,,41,72,,17,0.7,"5,154",751,"6,862,735"
169,169,Trinidad and Tobago,116,,8,,108,0,,83,6,"3,122","2,231","1,399,098"
170,170,Comoros,106,+19,2,,26,78,,122,2,,,"867,826"
171,171,Bahamas,102,,11,,48,43,1,260,28,"2,087","5,312","392,908"
172,172,Aruba,101,,3,,98,0,,946,28,"2,117","19,836","106,727"
173,173,Monaco,98,,4,,90,4,2,"2,499",102,,,"39,217"
174,174,Barbados,92,,7,,76,9,1,320,24,"5,272","18,347","287,345"
175,175,Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,610","38,119"
176,176,Angola,81,,4,,18,59,,2,0.1,"10,000",305,"32,762,654"
177,177,Sint Maarten,77,,15,,60,2,1,"1,798",350,450,"10,506","42,832"
178,178,French Polynesia,60,,,,60,0,,214,,"4,006","14,268","280,766"
179,179,Macao,45,,,,45,0,,69,,,,"648,524"
180,180,Burundi,42,,1,,20,21,,4,0.08,284,24,"11,855,161"
181,181,Saint Martin,41,+1,3,,33,5,1,"1,062",78,614,"15,905","38,604"
182,182,Eritrea,39,,,,39,0,,11,,,,"3,541,919"
183,183,Botswana,35,,1,,20,14,,15,0.4,"17,991","7,665","2,347,107"
184,184,Bhutan,33,+2,,,6,27,,43,,"16,838","21,844","770,842"
185,185,St. Vincent Grenadines,26,,,,14,12,,234,,584,"5,266","110,910"
186,186,Antigua and Barbuda,25,,3,,19,3,1,255,31,183,"1,870","97,857"
187,187,Gambia,25,,1,,20,4,,10,0.4,"1,756",729,"2,409,904"
188,188,Timor-Leste,24,,,,24,0,,18,,"1,290",980,"1,316,071"
189,189,Grenada,23,,,,18,5,4,204,,"3,007","26,734","112,478"
190,190,Namibia,23,,,,14,9,,9,,"3,412","1,345","2,536,578"
191,191,Curaçao,19,+1,1,,14,4,,116,6,572,"3,487","164,035"
192,192,Laos,19,,,,16,3,,3,,"6,432",885,"7,265,839"
193,193,New Caledonia,19,,,,18,1,,67,,"6,416","22,492","285,253"
194,194,Belize,18,,2,,16,0,,45,5,"1,572","3,960","396,949"
195,195,Fiji,18,,,,15,3,,20,,"2,431","2,714","895,872"
196,196,Saint Lucia,18,,,,18,0,,98,,"1,012","5,513","183,554"
197,197,Dominica,16,,,,16,0,,222,,433,"6,016","71,971"
198,198,Saint Kitts and Nevis,15,,,,15,0,,282,,394,"7,411","53,166"
199,199,Falkland Islands,13,,,,13,0,,"3,746",,503,"144,957","3,470"
200,200,Greenland,13,,,,11,2,,229,,"2,030","35,763","56,762"
201,201,Suriname,12,,1,,9,2,,20,2,782,"1,334","586,164"
202,202,Turks and Caicos,12,,1,,10,1,,310,26,129,"3,336","38,669"
203,203,Vatican City,12,,,,2,10,,"14,981",,,,801
204,204,Montserrat,11,,1,,10,0,,"2,204",200,36,"7,212","4,992"
205,205,Seychelles,11,,,,11,0,,112,,,,"98,294"
206,206,MS Zaandam,9,,2,,,7,,,,,,0
207,207,Western Sahara,9,,1,,6,2,,15,2,,,"595,905"
208,208,British Virgin Islands,8,,1,,7,0,,265,33,167,"5,527","30,213"
209,209,Papua New Guinea,8,,,,8,0,,0.9,,"2,402",269,"8,931,009"
210,210,Caribbean Netherlands,6,,,,6,0,,229,,424,"16,183","26,201"
211,211,St. Barth,6,,,,6,0,,608,,137,"13,875","9,874"
212,212,Anguilla,3,,,,3,0,,200,,41,"2,735","14,991"
213,213,Lesotho,2,,,,1,1,,0.9,,283,132,"2,140,745"
214,214,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,796"
215,215,China,"82,999",+4,"4,634",,"78,302",63,3,58,3,,,"1,439,323,776"
216,,Total:,"6,091,690","+65,272","368,704","+2,282","2,698,600","3,024,386","53,549",781.5,47.3,,,
